Student,Semester,Math,Physics,Chemistry,Biology,English
Mrs. Sylvia Jones,Semester 5,50.0,58.0,33.0,90.0,
Mrs. Sylvia Jones,Semester 1,44.0,,,,
Raymond Keller,Semester 3,44.0,77.0,,,35.0
Raymond Keller,Semester 2,,,,45.0,53.0
Raymond Keller,Semester 4,91.0,,,48.0,69.0
Raymond Keller,Semester 5,88.0,,,,78.0
Joel Singleton,Semester 8,68.0,45.0,100.0,,65.0
Joel Singleton,Semester 1,,,72.0,72.0,
Joel Singleton,Semester 5,66.0,54.0,32.0,45.0,79.0
Joel Singleton,Semester 4,,,,,98.0
Holly Webb,Semester 2,,,85.0,,39.0
Holly Webb,Semester 4,,,85.0,98.0,47.0
Holly Webb,Semester 7,38.0,95.0,,86.0,
Holly Webb,Semester 5,,42.0,,,42.0
Kevin Crane,Semester 1,,64.0,,,92.0
Kevin Crane,Semester 7,,,,,
Kevin Crane,Semester 4,91.0,72.0,66.0,54.0,100.0
Kevin Crane,Semester 5,47.0,79.0,92.0,,
Kevin Crane,Semester 8,52.0,,31.0,70.0,
Kevin Crane,Semester 6,93.0,,,66.0,
Kevin Crane,Semester 2,51.0,,,,94.0
Sarah Perez,Semester 4,,82.0,61.0,88.0,79.0
Sarah Perez,Semester 7,,39.0,58.0,60.0,
Amanda Miller,Semester 1,35.0,,49.0,,
Amanda Miller,Semester 8,70.0,76.0,97.0,41.0,
Amanda Miller,Semester 3,71.0,95.0,,36.0,
Amanda Miller,Semester 5,,89.0,95.0,49.0,66.0
Amanda Miller,Semester 4,72.0,,93.0,95.0,47.0
Donald Thompson DDS,Semester 1,,,,78.0,
Donald Thompson DDS,Semester 2,84.0,,95.0,67.0,
Donald Thompson DDS,Semester 5,,,,,
Donald Thompson DDS,Semester 6,39.0,,,92.0,
Timothy Butler,Semester 4,35.0,81.0,,,
Timothy Butler,Semester 8,,,,98.0,
Timothy Butler,Semester 7,,37.0,92.0,,65.0
Timothy Butler,Semester 6,,,,,30.0
Jennifer Neal,Semester 7,100.0,,,,60.0
Jennifer Neal,Semester 3,77.0,56.0,,,
Jennifer Neal,Semester 2,,,,,
Jennifer Neal,Semester 6,,,,,53.0
Jennifer Neal,Semester 5,38.0,82.0,46.0,52.0,
Louis Day,Semester 5,96.0,51.0,,65.0,
Louis Day,Semester 8,53.0,46.0,,68.0,83.0
